Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
Mestre Noza,Brazil,,,Taquaritinga do Norte,,São Paulo,male
Michael Ayrton,United Kingdom,Heatherley School of Fine Art,,St Pancras,,London,male
,,St John's Wood Art School,,London,,,
Michael Rothenstein,United Kingdom,Central School of Art and Design,,London,,,male
Michai Diament,,,,,,,
Michelangelo Conte,Italy,,,,,,male
Mick Carnicelli,,,,,,,male
Miguel Angel Ferreira,,,,,,,
Miguel Bresciano,Uruguay,,,Montevideo,,,male
Miguel Melcon,,,,,,,male
Miguel Ocampo,Argentina,University of Buenos Aires,,Buenos Aires,,La Cumbre,male
Miguel Pablo Borgarello,Argentina,,,,,Córdoba,male
Milton Dacosta,Brazil,,,Niterói,,Rio de Janeiro,male
Mimmo Paladino,Italy,,,Paduli,,,male
Minerva Lauffer,,,,,,,
Minna Citron,United States,Art Students League of New York,,Newark,,New York City,female
,,New York School of Applied Design for Women,,,,,
Mino Maccari,,,,,,,
Minoru Kawabata,,,,,,,
Miodrag Djordjević,Kingdom of Yugoslavia,,,Valjevo,,,male
,Socialist Federal Republic of Yugoslavia,,,,,,
Миодраг Нагорни,Kingdom of Yugoslavia,"Academy of Fine Arts, Belgrade",,Vlasotince,,Belgrade,male
Mira Schendel,Brazil,,,Zurich,,São Paulo,female
Mirella Bentivoglio,Italy,,,Klagenfurt am Wörthersee,,Rome,female
Mirian Cerqueira,,,,,,,
Mirtha Dermisache,,,,,,,
Misabel Pedroza,,,,,,,female
Mitsuyoshi Kageyama,,,,,,,
Míriam Chiaverini,,,,,,,
Mladen Srbinović,Yugoslavia,,,Sushica,Belgrade New Cemetery,,male
Moacyr de Vicentis Rocha,,,,,,,
Modest Cuixart,Spain,,,Barcelona,Palafrugell Cemetery,Palamós,male
Moema Cavalcanti,,,,,,,
Moisés Patrício,,,,,,,
Montez Magno,Brazil,,,,,,male
Morris Graves,United States,,,Fox,,Loleta,male
Moshe Castel,Israel,École du Louvre,,Jerusalem,Kiryat Shaul Cemetery,Tel-Aviv,male
,Ottoman Empire,Bezalel Academy of Art and Design,,,,,
Moshe Tamir,Israel,Bezalel Academy of Art and Design,,Odesa,,Tel-Aviv,male
Moussia Pinto Alves,Brazil,,,Sevastopol,,,female
Mónica Mayer,,,,,,,
Mónica Saucedo,Mexico,,,Colima,,,female
Mônica Nador,Brazil,Fundação Armando Alvares Penteado,,Ribeirão Preto,,,female
Mukata Takamura,,,,,,,
Nagatoshi Takeda,,,,,,,
Nauer Spíndola,,,,,,,
Nazareno Rodrigues,,,,,,,
Nazareth Pacheco,Brazil,,,São Paulo,,,female
Nelson Leirner,Brazil,,,São Paulo,,Rio de Janeiro,male
Nelson Pinheiro de Andrade ,,,,,,,
 Diego Miguel Buser,,,,,,,
Nelson Ramos,,,,,,,
Nemesio Antúnez,Chile,Colegio de los Sagrados Corazones de Santiago,,Santiago,,Santiago,male
Neuza Petti,,,,,,,
Newton Cavalcanti,Brazil,,,,,,male
Newton Freitas de Andrade,,,,,,,
Nicola López,United States,,,Santa Fe,,,female
Nicolás Rubió,Spain,,,Barcelona,,Buenos Aires,male
Nicolas Vlavianos,Brazil,,,Athens,,,male
Nikos Kessanlis,,,,,,,
Nilda Neves,,,,,,,
Nilson Seoane,Brazil,,,Santos,,,male
Nina Moraes,Brazil,,,,,,female
Nina Pandolfo,,,,,,,
Niobe Xandó,,,,,,,
Niura Bellavinha,Brazil,,,Belo Horizonte,,,female
Nivalda Assunção,,,,,,,
Noélia de Paula Sampaio,,,,,,,
Norberto Stori,,,,,,,
Norha Beltran,,,,,,,
Norma Grinberg,Brazil,Fundação Armando Alvares Penteado,,Cochabamba Department,,,female
,Bolivia,University of São Paulo,,,,,
Nuno Ramos,Brazil,,,São Paulo,,,male
Nury Iyem,,,,,,,
Octave Landuyt,Belgium,,,Ghent,,Heusden,male
Octavio San Martín,Uruguay,,,,,,male
Odetto Guersoni,,,,,,,
Odilla Mestriner,Brazil,,,Ribeirão Preto,,,female
